Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Quarter,DayOfWeek,Week,Daily_Return,Cumulative_Return,Price_Change,Up_Down,SMA_20,SMA_50,EMA_20,BB_Mid,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist,Volume_MA
2025-06-11,3060.4125058931113,3099.10167533552,3051.4842360217863,3056.146728515625,1749787,0.0,0.0,2025,June,Q2,Wednesday,24,0.4303155698323735,109.35713732225831,-4.265777377486302,Down,3035.324011230469,,3022.3007197981215,3035.324011230469,3129.5494818876673,2941.0985405732704,59.180668887586435,24.37753648421085,26.01201555764059,-1.6344790734297412,2393623.0
2025-06-12,3063.388426430681,3069.340606015715,2983.034002032726,2995.13671875,2278398,0.0,0.0,2025,June,Q2,Thursday,24,-1.996304994009812,107.17403532858792,-68.25170768068119,Down,3029.118859863281,,3019.713672079253,3029.118859863281,3116.1465948522005,2942.091124874362,50.70604168081282,19.40182709716828,24.68997786554613,-5.28815076837785,2328042.75
2025-06-13,2908.631776810961,2994.44236640651,2908.631776810961,2982.0419921875,2003184,0.0,0.0,2025,June,Q2,Friday,24,-0.437199626999496,106.70547084589101,73.41021537653887,Up,3022.6904907226562,,3016.125893041943,3022.6904907226562,3103.116626091093,2942.2643553542193,40.86203876179975,14.237782272167351,22.599538746870376,-8.361756474703025,2314719.0
2025-06-16,2977.0819786339007,3020.731297880782,2964.2848887326295,2999.501953125,1673726,0.0,0.0,2025,June,Q2,Monday,25,0.5855035235332817,107.33023513749649,22.41997449109931,Up,3017.512097167969,,3014.542660668901,3017.512097167969,3088.985730533056,2946.038463802882,47.88622762951536,11.422441674691981,20.364119332434697,-8.941677657742716,2297847.85
2025-06-17,3018.747142579605,3018.747142579605,2970.1376749534465,2983.232421875,1455355,0.0,0.0,2025,June,Q2,Tuesday,25,-0.5424077564960328,106.74806761704528,-35.514720704605224,Down,3014.71953125,,3011.5607331647197,3014.71953125,3087.0041632789535,2942.434899221046,51.31430168066822,7.788665874108574,17.849028640769472,-10.060362766660898,2237227.0
2025-06-18,2976.0897778529916,3050.3927224287986,2962.7966737231704,3016.8623046875,2161043,0.0,0.0,2025,June,Q2,Wednesday,25,1.1272967726518424,107.95143513816043,40.772526834508426,Up,3012.2593017578124,,3012.065644738318,3012.2593017578124,3080.417103658833,2944.1014998567916,54.22036741276083,7.535656501154335,15.786354212846446,-8.25069771169211,2275522.35
2025-06-19,3013.78692885251,3082.13769418589,3010.0171666776564,3070.13427734375,2482920,0.0,0.0,2025,June,Q2,Thursday,25,1.765807228705052,109.85764938332092,56.347348491240155,Up,3016.6490234375,,3017.59599070074,3016.6490234375,3087.930532094504,2945.367514780496,64.68390443786348,11.501169409440081,14.929317252165173,-3.4281478427250924,2206126.85
2025-06-20,3075.292790123237,3177.4718731499124,3065.67014821891,3159.02001953125,8315834,0.0,0.0,2025,June,Q2,Friday,25,2.8951744177262206,113.03821994418219,83.72722940801305,Up,3025.1655883789062,,3031.064945827455,3025.1655883789062,3119.390502331687,2930.9406744261255,67.91769070136615,21.567585800866254,16.25697096190539,5.310614838960863,2530513.9
2025-06-23,3138.386069671237,3159.0200990264307,3097.8118991023425,3110.013916015625,1731432,0.0,0.0,2025,June,Q2,Monday,26,-1.5513071526180644,111.28464995299596,-28.372153655611783,Down,3027.883752441406,,3038.583895369186,3027.883752441406,3128.7163085632696,2927.0511963195427,59.39291992404316,25.29927601739473,18.06543197300326,7.233844044391471,2508876.0
2025-06-24,3129.9538021095764,3190.9636442292385,3111.79960552769,3124.99365234375,2834887,0.0,0.0,2025,June,Q2,Tuesday,26,0.4816613922845825,111.82066514735858,-4.9601497658263725,Down,3033.3547973632812,,3046.81339603343,3033.3547973632812,3142.874654827524,2923.8349398990385,60.08764790905567,29.129618817004484,20.278269341803508,8.851349475200976,2520663.2
2025-06-25,3154.655251115204,3199.792613984934,3135.310667028177,3189.872314453125,2078771,0.0,0.0,2025,June,Q2,Wednesday,26,2.0761214046216114,114.14219791127316,35.21706333792099,Up,3044.153039550781,,3060.438054930544,3044.153039550781,3170.3158866320327,2917.9901924695296,66.31637865464465,36.97414398420506,23.61744427028382,13.356699713921238,2550002.0
2025-06-26,3200.189278928195,3212.192938051462,3158.1273064505344,3190.169921875,2907261,0.0,0.0,2025,June,Q2,Thursday,26,0.009329759706266927,114.15284710406172,-10.019357053195108,Down,3054.4106323242186,,3072.793470830016,3054.4106323242186,3193.070135467779,2915.751129180658,61.66987848348993,42.722522482369186,27.438459912700893,15.284062569668293,2590693.6
2025-06-27,3179.4559336963066,3215.6650262329417,3161.6986947822907,3177.76953125,5098406,0.0,0.0,2025,June,Q2,Friday,26,-0.388706273605377,113.70912782586909,-1.6864024463066016,Down,3065.645361328125,,3082.7911908700144,3065.645361328125,3206.1330753898233,2925.157647266427,62.551444496977965,45.75016652671593,31.1008012355039,14.649365291212028,2660604.35
2025-06-30,3179.852851450725,3194.138228706202,3135.806816518025,3157.829833984375,2083572,0.0,0.0,2025,June,Q2,Monday,27,-0.6274746192113434,112.99563190903517,-22.02301746635021,Down,3073.4476806640623,,3089.9377283094773,3073.4476806640623,3216.3144929507966,2930.580868377328,62.52434912705449,46.010251776434416,34.08269134369001,11.927560432744407,2616395.9
2025-07-01,3162.5914363148963,3192.352334398161,3142.94919514098,3150.786376953125,1407074,0.0,0.0,2025,July,Q3,Tuesday,27,-0.22304739018704778,112.7435981010367,-11.805059361771328,Down,3079.8760375976562,3026.1179638671874,3095.7328377041104,3079.8760375976562,3224.595253161727,2935.1568220335853,60.465110000766714,45.1278177014824,36.29171661524849,8.83610108623391,2526544.9
2025-07-02,3142.7508768259927,3177.1742675997393,3128.5648001235795,3139.97314453125,1559309,0.0,0.0,2025,July,Q3,Wednesday,27,-0.34319154421162956,112.35667160571398,-2.777732294742691,Down,3085.421484375,3033.02447265625,3099.946200259076,3085.421484375,3230.442081579662,2940.400887170338,68.01579376995176,43.0595808090884,37.64528945401647,5.414291355071931,2525277.7
2025-07-03,3139.973226191099,3195.3285471955746,3139.5765110793095,3149.099853515625,2102806,0.0,0.0,2025,July,Q3,Thursday,27,0.2906620077394839,112.68324976323241,9.126627324525998,Up,3092.0085571289064,3038.11556640625,3104.6275005692232,3092.0085571289064,3235.9761595841323,2948.0409546736805,70.98702689638631,41.676516372956485,38.45153483780447,3.2249815351520112,2455186.4
